,0 
272," i high hope i book stay knickerbock hotel chicago short week ago. when i arriv i known thing would i expect be. the host desk rude seem put i there. when i final got check arriv room i found temperatur room far hot. the air condition turn hot, muggi day would nice enter cool room. i turn air condition quit time room cool down. sinc i arriv earli afternoon i decid order room servic nix restaur hotel, i order gooey tripl decker grill cheese, $14 i expect best grill chees sandwich i ever eaten. when final arrived, hour later, cold chees far gooey! it also come bowl tomato bisqu soup which, needless say also cold. for qualiti food, $14 way much pay meal. after meet client stop martini bar drinks. the waitress rude seem overwhelm amount peopl serve. needless say took forev get drinks. we heard patron grumbl amount time took drink arriv well. final got drinks, order french martini. we took drink immedi mouth puckered, far much pineappl juic make very, tart. at $14 would think would made perfection, far it. the even final i went back room i found temperatur cold due air condition turn have. after miser night i check glad done knickerbock hotel!"
273," when i arriv millennium knickerbock hotel chicago i shock poor danger neighborhood situat in. thi chicago i hope for.in addit that, look noth like pictur website. the paint fade chipped, foul odor lobbi staff speak of. after wait 15 minut front desk, someon final came said reserv name. after long trip, i'm sure know aggrav was. final i got manag knew work comput properli brought reservation. onc got room, small, smell like smoke carpet sever stain either wine blood. also, walk room hallway, cockroach walk right across path like own place. to top seem everyon stay hotel gangster gambler ladi night. all heard lot frighteningli loud love make argument ensu even televis could mask. it nightmare. oh yeah, shower hot water. we complain desk said fault would fix next week. when ask discount said refund could leav whenev wanted."
274," while hotel certainli seem look beautiful, hotel actual far it. even book room onlin rather difficult, abl reach repres upon call contact numbers. in gener come bad decis despit looks, mistak wont make either."
275," superhigh bill millennium knickerbock hotel chicago my wife i decid take weekend getaway celebr anniversary. i told wife i would take care everything. i book millennium knickerbock great location, reason price 4 star hotel spa features. the hotel lobi seem nice enough staff seem fine. the problem us start went room. i sinu problems, i notic smell room, wife say anyth want go flow ruin weekend. we find remot televis call down, tri good sports. we disappoint realiz hotel pool hot tub, swim relax hot tub one reason go vacation. upon check i hit 250 dollar fee smoke room. my wife i smoke noth could get smoke fee. if bad enough hit 50 fee miss remot control."
276," the millennium knickerbock hotel seen better days. i fond memori stay consid finest hotel. i book room celebr special occas found highly-priced, great property. i look five suit i found one upholst furnitur liking, room carpet clean, refriger drip water, balconi litter cigarett butts. i final settl room, bellman friendli apologet price i turn around walk out. i sent letter manag i return home, month i never receiv answer. there plenti place spend money. don't leav hotel."
277," i want stay hotel sinc i heard histor i highli disappoint stay there. the room i given dirti i went back front desk inquir it, disregard concerns. it took long time get new room whole time unprofession make feel welcome. i stay hotel night sinc peopl room around mine unruli make nois night long. i left night demand refund."
278," although millennium knickerbock hotel chicago claim afford upscal hotel heart chicago, somewhat expensive, start $200 per night. there special discount rate avail budget consciou traveler. the room modern look littl less cozi one might prefer. the carpet room littl outdat somewhat dirti areas. the view room great could be. the hotel seem understaf heat unit room hard adjust right temperature. although hotel locat chicago' famou michigan avenue, $40 taxi ride o'har airport $36 taxi ride midway airport, rather pricey options. if chose drive there, valet park charg hefti $53. again, budget friendly. all all, even though millennium knickerbock hotel chicago close major chicago attractions, averag hotel mani levels."
279," we stay millennium knickerbock hotel chicago standard guest room. the room renovated, chang make much difference. the room small, felt like sleep deck boat. the decor drab noth special room. we excit bathrob slipper came room, assum would bathrob pair slipper us; one bathrob one pair slippers. we call front desk ask second set treat like tri scam hotel refus send them. it would matter sent second set; bathrob scratchi gave rash stain slippers. as hotel guests, expect treat respect enjoy stay paid for. we sever disappointed."
280," the sheraton chicago hotel tower one wors hotel i stay in. everyth lobbi staff room experi horrible. as i walk lobby, lobbi fowl smell, similar rotten eggs. the staff much better, especi room service, took 30 minut make request towels. the baggag handler gave rude servic check out, almost refus provid service. the room i stay ill maintain look like noth like pictures. the window dirti i see anyth outsid window. the room smell like someon soil room ant crawl tabletops. if i give suggest hotel, avoid hotel together. even cheap motel better standard hotel."
281," thi hotel overpriced. one pay money luxury, fall far short consid price charge. when go hotel restaur expect certain mark-up because, yes, make money. but price charg food okay make littl sens me. when i got went room, i thought would nice colors, great view, delux bedding. what i got sheet might come full price section target--they cheap, expens either. i think i could found someth qualiti less 200ish night i paid."
282," i recent stay sheraton chicago hotel tower way i'll go back. check took long time mani peopl arriv confer singl staff member recept desk. my room bare passabl - bathroom seem need good clean room look like seen better day long i ever here. for price i paying, think they'd allow access work facilities, want outrag per day charge! top small pool hot tub want spend time all. to top off, promis discount rate honor end stay, despit assur well check in! i end argu manag i check - sinc i catch flight, resolut happen yet, i'm still wait respons call letters. chicago lot better hotel offer price per night i paid, worth it. even shula' enough make want return here."
283," i recent stay sheraton chicago hotel. it first time stay hotel and, i sorri say, last time stay there. one main issu hotel amount noise. the wall must thin lie bed night i could hear neighbor next room talking. although i could quit make word conversations, i could definit hear voic murmer. in addition, i awaken sever time peopl convers hallway walk door, presum way rooms. admittedly, i light sleeper, ridiculous. if decid stay here, i suggest check bill care check out. when i check mine, i found i charg rate higher one i suppos charged. i wait line front desk someon help (and front desk servic woefulli slow) final ask speak supervisor error could corrected. finally, though i told upon check-in room recent updated, i cannot believ statement accurate. the room appear rather date furnish decor carpet appear somewhat worn. all all, i round stay hotel disappointing. next time i arrang stay elsewhere."
284," the sheraton chicago place want experi chicago. there custom servic provid idea do, even shuttl bring around town. the food restaur hotel serv mediocr burger fries, make attempt emul chicago culture. there million hotel chicago, one average. the room fairli decent sized, lack amen like wi-fi mini bars. the view noth special, concierg anyth respons phone calls."
285," my husband i made reserv sheraton chicago hotel towers, much need weekend getaway. we took work earli friday beat traffic. onc hotel quickli found ampl parking. we drove around sever time look space park adjoin lot walk across busi side street gain access hotel. upon check inform floor, room located, process carpet cleaned. we decid sinc prepaid credit card go make best situation. we took elevator, smell like urine, room. we see carpet clean machines, unattended, hallway. i hope sake safety, children stay floor. we walk room first thought much humid room seem one guest use microwav heat sort spici curri cusine. the overwhelm scent burnt curri mix chemic smell carpet shampoo much us. we call desk manag ask could chang rooms. he rude inform us hotel complet book due sever weddings. just then, roar carpet clean machin came wall i could hear anyth els husband said. we decid get refund card leav hotel. it aw experience."
286," for price, would think would top qualiti hotel, nowher close. servic check-in slow unfriendly. the room even worse. it small, dirti smell like stale cigarett smoke even though i request non-smok room. the cover bed stained, hair bathroom floor, curtain rod almost fall wall. everyth look tire desper need remodel. i also appreci pay wifi, premium hotel offer free. overall, one worst hotel i stay long time, consid price, terrible."
287," thi might classi look hotel downtown chicago, locat bad, room definit hit miss. they rang super basic ""affordable"" room presidenti huge suit presid could probabl even afford. with mani differ room options, wonder difficulti honor exact reserv check-in past 4:00 pm. the hotel decent pool, health club extra per day, mani servic hotel. you'd imagin price stay ($160 multipl hundreds) thing would included! additionally, check-in staff bit snobbi unhelpful. i realli would expect great servic high price stay here. if i return chicago again, i'd definit tri stay somewher else."
288," i stay sheraton chicago hotel tower decemb last year one worst hotel experi ever. first, i went check in, i complet ignor staff, rude seem better thing help check in. when i got room, way 23rd floor, room dirti cleaned. so back lobbi seem feel big deal gave anoth room. i went back check new room dirti also. there pubic hair bed bathroom. it appear maid went room pick trash made bed clean. all i say yuck! my next visit lobbi staff gave attitud transfer anoth room again! extrem poor custom servic gross rooms. i felt like i stay $30 night roach motel, $250 night sheraton. my advis stay away."
289," i stay sheraton chicago hotel busi meet absolut horribl experience. when arrived, exhaust seri delay flights, i told room ready. not readi 5pm, kid me! after wait lobbi 30 minut i final call desk told king room chang room two queen beds, fine, whatever. i get room unload bag find a/c work. i call desk clerk tell sold move could discount room $20. no apology. nothing. im exhaust deal 80+ degre room. when i went check next morn i find one even bother appli discount. again, apology. i never receiv poor custom servic life com back."
290," i stay sheraton chicago hotel tower recently, i complet dissatisfied. when i arriv clerk rude guest myself. we final got thing figur went room. there river right outsid constantli heard boat pass by. my bathroom disgust mention, small. i pleasant experi sheraton chicago hotel towers."
291," the sheraton chicago hotel tower hotel person wish relax getaway. upon enter hotel impress warm invit place. one encount staff chang point view immediately. person assist us knowledg duti provid overal attent requir expected. everyth hotel exud class sophistication. train staff conduct immedi order match classi look hotel interact customers. i truli diappoint fact stay hotel substandard was. i look forward wonder stay establishment. i hope issu mention earlier resolved. however, i plan return hotel again."
292," i recent guest sheraton chicago hotel tower immens dissatisfied. i arriv find ""lost"" reservation. they told book solid even though i produc copi reserv confirmation. after nearli hour argu front desk clerk final ask hotel manag step in. he almost helpful. he search databas found ""cancellation""; however, type room i reserved. i ask suit i go stay hotel sever days. i given box bed it. they made apolog lose reserv offer altern compensation. unfortunately, i town confer everyon area complet booked. i choic accept offered. i begrudgingli accept intent contact corpor offic post review here. do stay hotel not help anything, even error."
293," stay away hotel. a month back wife decid get nice pamper away home weekend. look differ option weekend decid go sheraton chicago hotel towers. they claim "" experi extraordinari "" sound great. when arriv hotel met buy close front door nobodi help bags. the front desk clerk explain room yet readi goto bar complemenatri drinks. after wait 2 hour room final start relax. well upon enter room smell someth horribl overwhelm . the front desk inform us room would bring air freshner. we pack bag head ""x"" hotel abl get pamper weekend away home."
294," i book room sheraton chicago hotel tower somewhat reluctantly; i enthusiast spend $200 room see lacklust photo website. i pleasantli surpris i arriv lobbi look stuffi online. unfortunately, hope dash i arriv room. i say 'at' discov newli issu key working, i wait ten minut someon final came let in. the room pain small-- i know better i would thought i stay red roof inn! the ""sweet sleeper bed"" stiff scratchi sheets, cheap-motel-thin coverlet. the disappoint continu i enter bathroom found reek smoke, also outfit cheapest trim possible. i stay two nights, surpris find sort charg ad room (for i responsible), charg demand movies, empti mini bar, and smoke bathroom. hah! i stop payment credit card, certainli submit horrif experi again."
295," i realli expect lot qualiti chain like sheraton, recent stay downtown locat chicago somewhat disappointment. it start check in; i specif request room singl king-siz bed, told front desk uncertain term (ok, rather rudely!) banker' convent go on, i happi double-b room left. it i could get lousi drink voucher inconvenience! the room ok, noth special though. the clean staff must'v through, faint aroma old washrag still air. the internet jack working. it took two hour mainten guy come fix it, apolog given. for price, i realli expect way custom servic sheraton. i guess they'r realli better anyon els days!"
296," the sheraton chicago hotel tower nice place stay need place stay quick notice, certainli ""exce expectations"" tout website. their starpoint system somewhat complic help frequent traveler. ""chic fussy"" overstatement. the room clean, although bed cover wrinkl bathroom counter water lie appear though clean sinc last guest. there hand lotion shampoo samples, soap sample. the bathroom short two towel took two call housekeep get fixed. ""cheap"" might better adjective. check simpl much hassle. overall, sheraton chicago hotel tower fine pinch, next time, i research hotel littl better make decis reserv room."
297," my famili i stay sheraton chicago hotel tower belief stay would 5 star experience. that farthest thing truth. the staff rude unhelpful. the hotel larg get lost dont help staff. onc find room card would get us start over. so overal took hour get us room. as enter room notic foul smell overlook happi final abl rest. my wife went bathroom, amaz appear dog hair tub tile floor. that begin bad stay. after room 30 minutes, knock door happen chicago police. there report smell marijuana come room! my famili put seri embarras question actual luggag person belong searched. there small amount marijuana found drawer dresser never touched. come find video surveillance, clean ladi arrest possess marijuana. needless say, stay sheraton chicago hotel tower worst part vacat i would recommend anyon stay place."
298," i sore disappoint sheraton chicago. from outsid look like great hotel, i guess insid clean enough decor realli bore frumpy, i expect look website. the front desk staff nice enough first, i ask wifi password told i pay extra. i mean come on, i'm pay 200 buck night wifi extra? the ladi check us got littl snippi said say make reservation. (note self, let husband book hotel without check first amen offeredd.) so thing start wrong foot anyhow. i guess posit hotel locat lakeview (from rooms) seem pretti safe. other i impress price - i'v stay big citi hotel half price better linens, better restaurant, got room clean reason hour (we stay two night get bed made fresh towel almost 5). i guess unpleas thing odd smell - musti per se mayb like chemic use cover mildewi smell. in gener seem lke declin staff know it, they'r kind lackadaisical. i stay again."
299," i want everyon know aw experi i sheraton chicago hotel towers. when arriv hotel, clerk check us said reserv system (i call earlier day confirm it). after speak on-duti manag inform reserv cancel earlier day hotel complet booked. we later found convent hotel price room risen dramatically. i believ cancel reserv could make money. i one go back hotel!"
300," we plan fun time kid summer book kid suit swissotel chicago. our fun time exactli that. upon arriv weekend getaway, find reserv made onlin confirm held hand kid suite, mean thing. apparently, none kid suit available. the kid suit suppos thing keep kid happi room: coloring, video games, etc. no one front desk could explain us kid suit available. whatever. so, took regular suit promis would move soon one becam available. guess what? we spent whole weekend room. yes, staff apologized, one seem overli concern children dissapoint compens extra offer make us less cranki it. other fact none hotel staff friendly, room clean. we spend lot time hotel, i book room again. the staff impress feel like treat well all."
301," while stay swissotel chicago i experienc worst custom servic i hotel. the front desk extrem rude check out, even seem tri hurri us out. the fit center alway pack i never abl get machines, pool area. while eat restaurant, i felt overpr meal, eleg looking. the last issu i hotel valet parking, took awhil get car, actual pull wrong car around. it anoth 10 minut i wait sort issu out. the worst part far custom service, although hotel look nice, worth stay way i felt i treat base money i spending. next time chicago, stay somewher else!"
302," the swissotel chicago hotel aspir tourist' paradise, hotel grand luxuri rather stay return home end trip. but realli magnific suggested? true, get massage, room flat screen t.v. ipod docks, heck, there' even gym. but truth is, realli pay much thing realli need. the swissotel attempt lure illus grandeur, really, get holiday inn style room fanci wallpap abil play tune mp3 player. overpr dine option avail palm restaurant. they claim serv excel lobster, yet i order size craw fish, left tast burnt fifti dollar bill mouth. thi hotel hide behind velvet curtain, hope facad revealed."
303," swissotel chicago: don't let shini bright light windi citi fool you. thi hotel provid luxuri experi stay might expect. firstly, provid applianc room gadget rel low quality. for example, window curtain small bedroom window nearli broke support tri open citi view. the bedroom bed (king-sized) make rattl nois everi turn bodi make. of coarse, bad fall asleep, then, sucks! in regard room services, hotel worker friendly. they talk stubborn way, want get done with, get pay-check. ye basic room servic orders, friendly. overall, hotel much notic flaw top posit hotel (which bare minimum). with said, i would recommend hotel anyon around downtown chicago area need least averag hotel services. however, sub-par servic qualiti okay you, hotel could suitable, however, consid prices, better look elsewher hotel rooms."
304," i stay swissotel chicago i holiday recent i say, definit get pay for! i initi attract inexpens price luxuri promised. i sore mistaken. the first problem i i got told doubl book suit i reserved. they gave discount downgrad regular room. i left i decid keep open mind. after settl husband i went the palm restaurant. my husband food allergi got order wrong send back three times. each time ask fix it, storm angrili would return huff. after dinner, went back room. just sit bed i knew would long night. the mattress hard blanket bad smell them. when i went restroom, toilet clean previou patrons! my husband grab blanket car use instead smelli one. we want bother desk staff cold recept walk in. i tri massag servic next day massag therapist unprofessional. he press realli hurt back. perhap distract text throughout session! for lunch tri geneva restaur hotel food cook way. i decid eat anyway got food poison hour later! onc i got sick, i done. i went desk demand refund next two night i go sleep one night. i made formal complaint manag seem act like fault unreasonable. after lot arguing, final refund us went differ hotel. thi worst place i ever stayed! i think super 8 motel would luxurious!"
305," i recent stay swissotel chicago husband two children. while room comfortable, i think best choic hotel children. the main reason dining. while hous restaur children' options, dine option bit informal. anyon children know want take sit restaur certain times. thi especi true sinc traveling. we arriv hotel tire children hand want eat quick meal put bed. however, real option locat fanci restaurants. thi certainli famili friendli option hotel kid friendli package."
306," what i thought go romant chicago weekend turn lackluster. the swissotel chicago per websit seem tout luxuri destin well much surpris not. first reserv mess instead get ""the classic room view"" put i guess classic king. the view noth write home about. when i call front desk complain situat i told noth could sinc hotel book solid. i ask could happen i got confirmation? the clerk simpli said ""probabl glitch sorri anyth els i help with?"" at point i hung phone i knew romant weekend view go happen. when check i told manag happen he said noth sorry"" i expect littl custom servic sinc think luxuri destination."
307," worst high price hotel i'v ever stay at! i busi meet chicago heard good review co-work thought would nice place stay littl upset experi swissotel chicago.front desk clerk rude check in, valet park great brought suv around front quarter size dent passeng size door, hotel refus pay damages. the room beauti besid faint mildew smell room. room servic great pleasing!our busi meet took place st gallen room meet took littl disrupt turn, construct go time hard hear announc meeting. other hotel beauti stay great expected, may want book somewher els busi meet attend chicago."
308," my husband i stay hotel suppos romant weekend. it far that! we could hear televis neighbor room call front desk complain, person answer phone extrem rude! we unabl relax all! also, room clean, definit smell cigarett smoke bed hard rock. we return aw place!"
309," i recent chicago busi chose stay swissotel, chicago. the hotel sell stylish, sophist luxuri say center city. i would better anywher else. i impress interior, find border clinic modern taste. i guess 'stylish' might modern people' minds, mine. also, luxuri mean plush hard clinical. when i made way reception, i hardli encount friendli custom servic boast website. i organ execut suit i plan work time hotel room, thought extra space would come handy. when i proceed check in, girl desk told me, smack gum, i reservation. i hand book confirm told first spell name wrong, even though i spell her. she proceed tell due conference, execut suit alreadi allocated, would happi assign lake view room. correct i wrong, step room i ask for! sure give away room, tri compens someth better! i said no, i realli need space i would use room office, final said corner king room available, i want switch follow evening, i would welcom that. the room ok, although, again, i disappoint cold clinic felt. i attempt make use hotel services, found sadli lacking. some comment services: high speed wireless avail room unless will pay fee cabl connect, also per day fee border extortion! there free wifi lobby, requir sit near door open constantli let freez blast air, plu deal nois bustl peopl constantli come out. i phone room servic arriv request extra pillow towels, wait 2 hour arrived. the fit center pool i look forward using, close clean i went up. breakfast next morn consist continent items, i would expect money. all all, i would say money better spent elsewhere."
310," i recent misfortun stay swissotel chicago hotel illinois, one wors travel experi i ever had! first shuttl suppos pick us air port late hour! then bu final came, driver nice enough clearli first day job sinc got lost go back hotel. final got hotel didn;t seem reserv 2nd room. (mi wife i stay one room, teenag girl usual stay room.) so rude clerk corner noth help us forc pack one room. would rent anoth room vacanc left. they hotel larg occup rate, slow everyth else. room servic late almost everytim ordered, hotel restaur never wait less 45 mins. the qualiti room fair enough, almost imposs get room service, could get fresh towel almost 2 days! we suppos stay week, left 4 day found differ hotel stay at. i would recommend place anyone! stay away!"
311," i disappoint hotel. i stay swissotel enjoy much, servic describ aloof. there warmth prolong checkin procedure, woman repeatedli ask provid inform i given minut ago. precise, indeed. room servic took forev pick (good sign way=busi good), food arriv late cold. the man tri replac it, took anoth hour, i never given price reduction, free dessert, anyth apologize. as cleanliness, must next godly, knock door 0800, despit fact i doorknock request servic (i'm late sleeper.) veri disappoint stay. thi hotel clearli help build chain' reputation."
312, i receiv type room i reserved. cleanli seem issu maid staff. the carpet debri bathroom need attention. room servic adequ great. the wall seem paper i heard one neighbor' tv night neighbor' late enjoyment.
313," i stay swissotel chicago 1 night vacat girlfriend. our plan stay 3 night origin beauti could make poor servic receiv front desk associate. we walk despit guest wait check in, still stood wait 10 minut person desk chat phone someon clearli relat hotel. onc lean counter final got attention, got phone act like i one fault. needless say i stay again."
314," chicago favorit citi visit. i want share special citi new love book us room swissotel. it advertis close downtown close museum chicago. i want share new love. it inde close museum get either shop district chicago art institut long walk, full detours, easi grab cab. while room seem luxuri decor bed uncomfort room clean. the room servic slow, food arriv cold, total experi way expens got. i think i ever experienc level nois ""grand hotel"" swissotel seems. i would recommend swissotel disappointment, noise, cold food cost much."
315," grant it, hotel seem nice, i pleas stay here. the custom servic horrible. i request towel washcloth sever time receiv linen replac either. for much i paid stay here, think least get iron. not! i request iron, too! in addit fail amenities, i mistakenli charg twice stay reimburs entir week later. the next time i choos visit chicago, swissotel last place i think stay."
316," i book room swissotel chicago i thought price reasonable, base price was; however, end cost i plan for, pay park amenities. the servic good, consid market luxuri hotel. there one help us bring bag difficult time so, staff cold. all all, i would say averag experience... luxuri like claim be."
317," my husband i arriv swissotel chicago celebr 13th wed anniversary. we automat thought experi would nice pictur websit hotel' brochur intrigu us. boy wee wrong! upon arriv (at given advertis check-in time) room ready. we wait hour, bag hand. we check twice see room ready, staff less ""warm"" times. after frown mumbl peopl desk hotels' lobby, tire final arriv room, expect take nap hit city. we reserv premier corner king thought. we suppos abl see lake river skyline. yeah, right! all saw brick side side building. in addition, water shower littl pressure. we call front desk, phone rang 21 time someon answered. my husband said think knew peopl calling. we request better room, said none available. however, upgrad room, would pay sort upgrad fee. we could believ it. my husband felt ""agitate"" further, fear might make thing even wors us: like turn air. we threw jean head fro coffe shop around corner given us refug before. after return 2 hour later, water pressur fixed. the room clean bed plush, overal experi (especi rude staff) good. let' say next 13th anniversari stay swissotel tell other stay there."
318," i realli high hope hotel. the locat seem great price too. unfortunatley, get pay for. despit locat near miracl mile navi pier, mani redeem qualities. the staff rude. we arriv late long drive detroit found nobodi lobbi help us check in. onc final got check in, room clean trash left last people. we told clean staff gone home night get morning! we plan see chicago' attract like field museum could hardli find anyon help us go. their websit advertis lot special packag found absolut way purchas them. finally, check out, charg room extra clean fee clean request first night. ridiculous!"
319," the swissotel chicago mediocr hotel, servic alway poor, room servic food alway come cold, unless suppos cold come warm. i would rather stay super 8 place again."
320," my $200 gucci sunglass stolen bag 16th. i file report hotel secur anxiou hear back them. thi disappointment, like hotel great time chicago. our room realli nice, 2 bathrooms. we 2 doubl bed comfort hideaway bed. we great view lake park. the hotel charg us $25 check earli (10am)."
321," thi gorgeou hotel outsid lobby. however, reach elev thing start look quit dingy. our bathroom room grout need deep scrub overal appear dirty. wireless internet available, that' addit fee. are kidding? even roach motel offer wireless free! also, fit room avail $15 per day. wow, i thought room rate enough cover that. when i use coffe suppli room, replenished. i call next morn request told housekeeping' area would send up. no kidding, nearli 90 minut later i got cream sugar! glad i big hurry. i'll definit stay next door half cost lot better accommod next time i'm chicago!"
322," the hotel impress upon enter staff friendly, howev felt room date worn looking. our air condit seem work well, turn thought would eventually... cool off. our first night interrupt phone call one a.m. that fax, happen 4 times. by time realiz air work again, fuss control kick on. the next morn i mention concierg issu phone, think mention issu air appear working. after see site chicago sever hour hot look forward rest cool room go show . our room 78 degrees, i call mainteni come check. after determin unit need motor anoth hour get rest cool room go out. i feel offer made us hotel. also surpris wifi free servic !! we stay hilton next trip chicago."
323," go internet retail 2010 last minut hotel left avail shuttl services. first all, read reviews, i know i got rip @ $249 night pricelin folk snipe room $79 (albiet, i got free wifi). the hotel nice; get nice oldie...no matter much money dump it. shower head realli low (i'm 6'1""), water pressur low. it decent part town hype bar close (check review yelp!) for reason i end two doubl bed (they ask time i travel alone). if travel here: 1 - make sure get better deal i 2 - confirm exact need reserv phone person 3 - don't super high hope my room neither par busi class (although 22nd floor call execut floor) good fit romant couple...it wasnt even spaciou enough last minut get away (sp?) tri save money."
324," i check hotel, rm 1760 11/13/2010. next day, i woke bed bug bites, numerous, arm back. we report manag assig us rm 1901 promis get room inspect ""taken care of"". i insist get cloth laundered, did. interestingly, one management, secur guy came first complained, even offer apolog inconvience. i miss coupl meet day. the next day, i call i forgot someth previou room, discov room alreadi assign next guest. so much reporting!"
325," i expect glamor room i walk disappointment. housekeep manag must concern attent detail hotel. if like stay somewher air room go past 74, closet 24"" wide, old/dirti brass fixtures, bed littl bigger twin, showerhead bare put water, hotel. i might spoil stay marriott's, i stay hotel 1/3 year severli disappionted. no free breakfast room chang get stay again."
326," i stay chicago hilton host confer i attending. befor i arriv i tri find ""in room fitness"" program advertis corpor website. i call 800 reserv number client servic repres answer hotel fit center. i explain i inquir 'in room fitness' advertis website. she put hold came back minut later told thing i call properti directly. i got response. i ask could reserv treadmil room. again, problem. when i arriv hotel, treadmil available. when i went tour fit room first night i found close 9pm. when i return center next day i discov charg $13 per day use fit equipment. the pool, track locker room free, use treadmills, etc. pay $13 per day. thi charg note anywher -- website, guest servic materi room. the food confer mediocre, one room servic meal i pretti good. dure one confer lunch session wait staff made much nois hear speaker. the hvac work well room i kept window open three night stay. the bed comfort nice linens. i tri get late checkout, offer card room. the woman answer phone would give hour, 11-2pm rang advertis room. the best servic i receiv folk secur office. the hotel safe guest rooms, i becam friendli secur offic i lock laptop confer session everi time i carri hotel. i visit chicago least year person travel continu stay marriott properties. onli wish i done visit."
327," i stay octob 6, 2012. when i pull cover bed, small dark brown insect size grain rice, either bed bug cockroach. i trap glass (see attach pictures) call front desk. the houseclean person claim cockroach. absolut horribl servic hotel manag respond problem, fail follow promis made me. set asid bug problem, i caution window quit thin. we could hear lot street noise, made hard night' sleep, mention worri insect even chang rooms. for $400 night tax, i strongli encourag check alternatives."
328," i stay hilton chicago last week disappointed. the highlight stay wait 20 minut bellman come get luggage. finally, 72 year old mother, 8 year old son, gave drag valet park - easi task. the secur guard kind enough hold door me. the valet park attend look ignor us. as far i could tell, stand nothing. i let go bag without everyth fall i gave son park receipt. the attend point car park - short distanc away. my 8 year old tell pull up. they ashamed. less significant, irrit issues. the pool part hilton athlet club. two lane reserv adult want lap swim. basically, two adult take 2/3rd pool everyon els consign leftov 1/3rd. thi ridicul famili unfriendly. in addition, pool close 9 p.m. what pool close 9? we stay 3 nights. not one singl addit bar soap, bottl shampoo, coffe stirrers."
329," i stay hilton chicago i attend confer hotel. the room suffici - coffe maker, bed, hangers, tv, etc. that' compliment end: *restaur rate outrageous. $21 breakfast buffet? $25 use gym? $7.50/hr wifi!?!?! thi unaccept i'm pay $249 per night. thank good ice free. *server restaur bar surly, well-vers english, rude. *comput monitor room silli turn random time night *confer incred cold...everybodi wear overcoat entir time, despit complaint management. *fridg room usable. store cold item ice bucket. *cabl channel flat sucked. i soooo bore i spend hour room. if i'm pay much, least provid full 70 channels."
330," eleg lobby, comfi beds, nice sheet but, given (not fancy, littl dated) room 5th floor view monstrou vent structure, locat lobbi heard elev night. at hilton, one charg internet access devic per hour. (we stay middl ohio receiv total access free.) we drink $6.00 water tri $28. breakfast buffet. the staff friendly, cours tip smile. they give us cot free ask room fold-out couch parti 5. didn't use gym pool 8th floor, look nice (small pool.) no view water possible, though right grant park. we tri view firework higher story, luck. ...read"
331," month prior 5-night reserv hilton chicago i request room allow lot natur light, face open view, close building. (the reserv made confer travel agency.) i confirm request telephon day advanc directli hotel check-in clerk note record. she told would difficult find, consult chart appear satisfi room assign me. i surpris open door onto room insid one towers, tuck dark corner, face wall rooms. i call desk immedi told hotel sold hard tell room still avail suit request, ""sit tight"" someon would call me. no one did. further call yield similar results. at one point i told i could ""parlor room,"" sofa bed, reduc rate, i could go see room commit moving. that' real hospit you. worri bad sofa bed could wors room cave, i end stay dread dark room. (i ask bright room one bed got dark room two beds.) the redeem featur room 2 bathrooms. other that, tight quarter tini closet, two uncomfort low chairs, desk (dark) corner. light fixtur much brighten thing up. sinc i conference, i realli want bright environ wake earli start workday cheer offic mid-day call e-mail, instead i got cave. consequently, i spent littl time possibl room next time i chicago, confer not, i absolut stay anoth hotel. there much better locat hilton chicago look percentag ""insid tower"" rooms, place much better chanc bright room well better custom service. shame chicago hilton."
332, i recent stay chicago triathlon. thi third stay hotel. i issu visit. after 3rd day stay i request room servic return i thought clean room. while get bed i cut piec glass carpet. i must first person cut room i found dri blood bathroom floor afterwards. i notic i disgusted. we notifi staff ask room vacuum bathroom mopped. we return room 5pm find dri blood still floor. after make complaint custom servic i gotten repli hotel. consid price point downtown hotel i would think would tri live 5 star rate instead fail miserably. luckili mani hotel choos downtown chicago.
333," our non-smok room smell badli stale cigarett smoke. we allow chang rooms. also, concierg staff unprofessional, tell long wind person stori uninterest guest long line formed. the locat great. hotel dated, would still nice place stay custom servic issues."
334," i stay chicago time busi first stay chicago hilton. i pretti much stay hilton properti stay ton hawaii way budapest. thi hilton par. it' clean front desk staff nice, chicago, the drake, doubletre guest suites, even hilton garden inn superior chicago hilton (and less expensive). compar hilton properti chicago, room well appointed, bathroom room smaller nice, tv tiny, hallway execut floor noisi night long, breakfast get like hampton inn 4 star hotel. if go chicago like hilton brand hotels, far better place."
335," my sister i stay 22nd floor, refriger hallway first three nights, beat old dorm style. it told concierg go post pictur took tripadvisor thing get removed. breakfast dish left outsid room stay floor day two routinely. all night chime make noise, suppos comformt relax rather annoying. there wifi - matter tell you, i paid wifi, still unabl get on. lastly, sister i split bill, i alreadi paid first night form deposit gave credit. room cost citi tax etc. 313.69 night. i know comfort inn block away significantli cheaper! so view wonderful, not worth money."
336," when i call edit exist reservation, i place hold 30 minutes! final someon came phone said, ""ill transfer you"", i put hold anoth 5 minutes. when i final get speak someone, i go changes, i ask send revis copi reserv huf act put off. befor abl disconnect me, i said ""i one question"" repli ""i'm work front desk i custom waiting!"" i thought, i customer? pathet rude. hotel better find better employe guest truli enjoy stay."
337," visit busi 2day confer chicago. most hotel book solid. the full hotel allow meet wide array customers. everyon complain service, cleanliness, overal experience. locat good. hotel tired. employe surly. too mani cool properti choos town, never stay re-think hilton gener"
